Issue Type,Summary,Description,Status,Priority,Story Points,Components,Labels,Epic Name,Epic Link,Assignee,Sprint
Epic,M1 Authentication & Identity,"**Goal**
Phone-OTP registration for workers and employers (no Aadhaar). Three login methods post-registration: phone+OTP, email+password, Google OAuth. Admin login is email+password only.

**Scope**
- Seeker registration: Language → Phone → OTP → Profile → Categories → Experience → Password
- Employer registration: Phone → OTP → Password → Email Verify → Company Details (Corporate doc upload as separate step per 2026-05-13 decision)
- 6-digit OTP, 10-min expiry, 5 attempts, 30s resend cooldown, WhatsApp primary + SMS fallback
- Login: phone+OTP, email+password, Google OAuth (via google-auth-library per 2026-05-12 decision)
- Admin login email+password only
- Delete all Aadhaar code paths (model, validator, send/verify endpoints)

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m1-authentication--identity
- RTM rows: M1-AC1 through M1-AC15
- Scope: docs/_context/02-scope-locked.md (Q3, D6)",To Do,Highest,,M1,"module-M1",M1 Authentication & Identity,,,36
Epic,M2 Profile Management,"**Goal**
Edit seeker / employer profile data after registration — photo, experience, skills, documents, company details.

**Scope**
- Seeker: profile photo, name, sector, job title, languages, work experience, documents, skills
- Employer: company details (logo, GST, CIN, website), business documents
- T2 #20: GST/CIN change auto-resets verifyStatus to PENDING
- NC-2: profile photo update via separate endpoint with old-file unlink
- Min-1 document invariant for employer
- T1 #8: forbidden-keys guard on profile PUT (rejects email/phone/password)

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m2-profile-management
- RTM rows: M2-AC1 through M2-AC10",To Do,High,,M2,"module-M2",M2 Profile Management,,,37
Epic,M3 Job Posting,"**Goal**
Employer creates/updates/activates/deactivates/expires job posts with rich fields.

**Scope**
- Title, description, category, subcategory, skillsRequired, salary range, payment type, urgency, location (text), GPS lat/lon, numberOfPositions, expiresAt
- Per-job toggles: showEmailToSeekers, showPhoneToSeekers (NC-5 / Q51)
- Live preview before publish
- ACTIVE ↔ INACTIVE only state transitions (T2a #34b)
- Auto-FILL when acceptedCount === numberOfPositions (T2 #14)
- Update after VIOLATION_FOUND resets moderationStatus to PENDING_REVIEW

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m3-job-posting
- RTM rows: M3-AC1 through M3-AC8",To Do,High,,M3,"module-M3",M3 Job Posting,,,37
Epic,M4 Job Discovery,"**Goal**
Two seeker-facing feeds — Recommended (profile-weighted) and Near By (GPS distance). Search + filter.

**Scope**
- Recommended feed with Q9 weights: sector 20, title-exact 30, title-fuzzy 15, experience ≤15, skills ≤20, location ≤20 with exp decay beyond 10km, recency boost (<24h +10, <7d +5)
- Cold-start fallback: city jobs by createdAt desc when profile empty
- Near By feed via Haversine distance, default radius 5km
- Search across title+description with filters: category, jobType, paymentType, urgency, salary, skills, status
- P95 search response <500ms with 50k jobs (S3 perf gate)
- Voice 🔊 icons render as no-op + ""Coming soon"" tooltip
- ""Contact the Recruiter"" double-gated (employer toggle + seeker paid tier; degrades to toggle-only under Option B)

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m4-job-discovery
- RTM rows: M4-AC1 through M4-AC9",To Do,Highest,,M4,"module-M4",M4 Job Discovery,,,37
Epic,M5 Job Application,"**Goal**
Seeker applies with optional 2-min audio + optional text (≤1000 chars).

**Scope**
- POST /api/applications with multipart audio (MIME: webm/mp4/m4a/ogg/opus, 2-min cap per Q10 revised)
- Store MIME + duration on application row; presigned-URL abstraction (Q10)
- Duplicate apply rejected with ALREADY_APPLIED sentinel
- Apply to FILLED/INACTIVE/expired/soft-deleted-employer rejected 400
- On apply: SYSTEM message ""Applied the job"" (T3 #39); in-app + WhatsApp notification (T2 #11)
- Withdraw → terminal WITHDRAWN; does not retroactively delete SYSTEM
- Free vs paid: under Option B seeker unlimited applications; no daily cap

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m5-job-application
- RTM rows: M5-AC1 through M5-AC9",To Do,Highest,,M5,"module-M5",M5 Job Application,,,37
Epic,M6 Candidate Management,"**Goal**
Employer reviews applicants with tabs (All/Accepted/Shortlisted/Rejected/Bookmarked) + accept/reject/bookmark actions.

**Scope**
- Tabbed list per job: All/Accepted/Shortlisted/Rejected/Bookmarked
- Candidate detail: profile, audio playback, work experience, documents, skills, lastSeenAt
- Accept → ""Congratulations…"" SYSTEM + interview details + WhatsApp/in-app
- Reject → ""We regret…"" + WhatsApp/in-app (with optional private reason/notes)
- Bookmark → silent (no SYSTEM, no notification)
- BOOKMARKED in updateApplicationStatusSchema enum (S1 fix)
- ""Cannot reject accepted"" guard decision (S1 fix)
- Stats endpoint: totalApplications, pending, reviewed, shortlisted, accepted, rejected, withdrawn, bookmarked

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m6-candidate-management
- RTM rows: M6-AC1 through M6-AC8",To Do,Highest,,M6,"module-M6",M6 Candidate Management,,,37
Epic,M7 Interview Scheduling,"**Goal**
Accept-with-modal flow + WhatsApp/SMS confirmation + 24h/2h reminders + day-after outcome capture.

**Scope**
- Schedule Interview modal: Date / Time / (Mode dropdown — gated by Q13 open question) / Notes
- Single BE call flips ACCEPTED + creates Interview + triggers notifications
- Auto-create: SYSTEM chat message + in-app INTERVIEW_SCHEDULED + WhatsApp interview_scheduled template + SMS fallback
- Reminder cron: WhatsApp + SMS at 24h and 2h before
- Reschedule once per interview; subsequent attempts return RESCHEDULE_LIMIT_REACHED
- D+1 outcome capture: Hired (stays ACCEPTED) / No-show (→REJECTED) / Need re-interview (→SHORTLISTED)
- All timestamps UTC, rendered in user TZ with IST default

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m7-interview-scheduling
- RTM rows: M7-AC1 through M7-AC8",To Do,High,,M7,"module-M7",M7 Interview Scheduling,,,37
Epic,M8 Chat / Messaging,"**Goal**
Seeker↔employer text + 60s audio messages, polling delivery (~10s interval).

**Scope**
- Polling endpoint GET /api/conversations/:id/messages?after=<lastMessageId>
- POST /api/conversations/:id/messages with type ∈ {TEXT, AUDIO}; TEXT 1–5000 chars; AUDIO multipart cap 60s
- IMAGE not user-submittable; SYSTEM producer-hook only
- Per-message readBy UUID array; unread counts from messages where userId NOT IN readBy
- lastSeenAt fire-and-forget on every auth request
- SYSTEM messages on apply/accept/reject — immutable
- Voice 🔊 icons non-functional in v1

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m8-chat--messaging
- RTM rows: M8-AC1 through M8-AC8
- **NOT IN SCOPE:** WebSockets / real-time chat transport (scrubbed entirely per locked scope)",To Do,Highest,,M8,"module-M8",M8 Chat / Messaging,,,37
Epic,M9 Notifications,"**Goal**
Five-channel matrix: in-app + FCM + WhatsApp (MSG91 BSP) + SMS (MSG91 DLT) + Email (MSG91).

**Scope**
- 11 NotificationType events wired to producer hooks
- Channel matrix per event per PRD §M9
- WhatsApp templates submitted to Meta (8–12 templates)
- FCM push: device tokens on User.deviceTokens[]; web push + APNs + Android FCM
- In-app dropdown: last 20, unread badge, mark-all-read
- User preferences UI: opt-out per category (OTP mandatory)
- Producer hooks try/catch — channel failures do not abort parent action
- **Critical-path externals:** DLT registration (R11, 2-3wk) + Meta verification (R14, 1-2wk) both initiated by S1 day 1

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m9-notifications
- RTM rows: M9-AC1 through M9-AC9",To Do,Highest,,M9,"module-M9",M9 Notifications,,,36
Epic,M10 Subscription & Payments,"**Goal**
Razorpay employer subscriptions per PROVISIONAL Option B (worker free, employer ₹999/mo, 14-day trial, manual renewal). Pricing pending Shaik confirmation by 2026-05-18.

**Scope**
- Subscription / SubscriptionPlan / PaymentHistory / WebhookEvent Prisma models
- subscriptionTier / subscriptionExpiresAt / lastPaymentAt on User
- TRIAL row on employer register (tier=TRIAL, expiresAt=now()+14d, autoRenew=false)
- Expiry cron flips tier=EXPIRED + auto-deactivates ACTIVE jobs
- Razorpay checkout: POST /api/subscriptions/checkout creates Order
- Webhook POST /api/webhooks/razorpay with HMAC sig verification + idempotency on provider_event_id; flips tier=PRO, expiresAt=now()+30d, writes PaymentHistory
- Manual renewal reminders T-3 days
- Day-3 + day-7 trial nurture crons
- Admin revenue dashboard reads from PaymentHistory aggregation
- Plan names + prices in seed data (30-min swap if Shaik picks Option A/C)
- **NOT IN SCOPE:** Escrow / platform-handled wages / commission (Q12 revoked forever)

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m10-subscription--payments
- Pricing memo: docs/managerial/03-pricing-decision-memo.md
- RTM rows: M10-AC1 through M10-AC13",To Do,Highest,,M10,"module-M10",M10 Subscription & Payments,,,36
