"Req ID","Feature / Requirement","Source","Surface","Covering Test Cases (modules/IDs)","Priority","Coverage","Open Defects","Notes"
"R-AUTH-01","Phone-OTP registration & login","PRODUCT.md 4","Web/Mobile/API","WEB-SEEK-AUTH-001..017, MOB-AUTH-002..007, API-AUTH-001..012","P1","Covered","","Dev-mode OTP leak flagged"
"R-AUTH-02","Email+password login","PRODUCT.md 4","Web/Mobile/API","WEB-SEEK-AUTH-010/011, MOB-AUTH-006, API-AUTH-006/007","P1","Covered","",""
"R-AUTH-03","Google OAuth login","PRODUCT.md 4","Web/Mobile/API","WEB-SEEK-AUTH-012, MOB-AUTH-008/009, API-AUTH-008, E2E-026","P1","Partial","","Not configured (web) / gated off (mobile)"
"R-AUTH-04","Forgot / reset password","STATUS","Web/Mobile/API","WEB-SEEK-AUTH-013..015, MOB-AUTH-007, API-AUTH-009/010","P1","Covered","",""
"R-AUTH-05","Email verification / employer approval gating","PRODUCT.md 4","Web/Admin","WEB-EMP-REG-001..003, ADM-EMP-002, E2E-003/014","P1","Covered","",""
"R-JOB-01","Post a job (taxonomy triple, 30-day)","PRODUCT.md 4","Web/Mobile/API","WEB-EMP-JOB-001..004, MOB-EMP-002/003, API-JOBS-003/004","P1","Covered","",""
"R-JOB-02","Job feed: search/filter/category/nearby/recommended","PRODUCT.md 3","Web/Mobile","WEB-SEEK-FEED-001..010, MOB-SEEK-001","P1","Covered","","Recommended (AI) is roadmap"
"R-JOB-03","Edit / close / reopen / delete job + delete-refund","MONETIZATION 4","Web/Mobile/API","WEB-EMP-JOB-006..008, MOB-EMP-004..006, API-JOBS-006..008","P1","Covered","",""
"R-JOB-04","Bulk job upload","Catalog (aspirational)","Web","WEB-EMP-JOB-009","P3","Deferred","","Not-yet-built"
"R-APP-01","Apply / duplicate-guard / status workflow","PRODUCT.md 3","Web/Mobile/API","WEB-SEEK-APPLY-002..006, MOB-SEEK-003/004, API-APP-001..004","P1","Covered","",""
"R-INT-01","Interview scheduling + calendar invite","PRODUCT.md 5","Web/Mobile","WEB-EMP-APPL-003, MOB-SEEK-005/EMP-007, E2E-009","P1","Covered","",".ics email won't send in dev"
"R-CHAT-01","Chat (polling, text-only, read receipts)","PRODUCT.md 4","Web/Mobile/API","WEB-SEEK-CHAT-001..006, MOB-CHAT-001..003, API-CHAT-001..004","P1","Covered","","No audio (removed)"
"R-SAVE-01","Saved jobs","STATUS","Web/Mobile/API","WEB-SEEK-SAVE-001/002, API-SAVED-001","P2","Covered","",""
"R-RPT-01","Report a job -> admin queue -> resolve","PRODUCT.md 4","Web/Admin","WEB-SEEK-RPT-001, ADM-RPT-001..005, E2E-005","P2","Covered","",""
"R-PROF-01","Seeker profile create/edit","STATUS","Web/Mobile","WEB-SEEK-PROF-001/002, MOB-SEEK-008","P2","Covered","",""
"R-I18N-01","English + Hindi, persistence, model layer","PRODUCT.md 4","Web/Mobile","WEB-SEEK-I18N-001..004, MOB-I18N-001..004, E2E-017","P1","Covered","",""
"R-MON-01","8 plans catalog + GST pricing","MONETIZATION 2","Web/Mobile/API","WEB-EMP-BILL-001, MOB-MON-003, API-PLANS-001","P1","Covered","",""
"R-MON-02","Razorpay checkout + verify + webhook (no double-grant)","MONETIZATION 5","Web/API","WEB-EMP-BILL-002..005, API-BILL-001..006, SYS-IDEM-001/002","P1","Covered","","Mobile checkout Not-yet-built"
"R-MON-03","Credit wallet, expiry, soonest-first spend","MONETIZATION 4","Web/Mobile/API","WEB-EMP-WALLET-001..003, MOB-MON-004, API-CRED-001..004","P1","Covered","",""
"R-MON-04","Post/download credit gates (402 semantics)","MONETIZATION 5.1","Web/Mobile/API","WEB-EMP-JOB-002/CAND-003, MOB-ERR-001..003, API-ERRCODE-001..005","P1","Covered","","Mobile 402 collision"
"R-MON-05","14-day trial, once per identity","MONETIZATION 3","Web/API","WEB-EMP-BILL-008, API-CRED-003, SYS-ABUSE-001","P1","Covered","",""
"R-MON-06","GST invoices + PDF + place-of-supply","MONETIZATION 4","Web/API","WEB-EMP-INV-001..004, API-INV-001..004, E2E-018","P1","Covered","","Mobile invoices Not-yet-built"
"R-CAND-01","Candidate DB search (snippet-gated, no PII leak)","MONETIZATION 5","Web/Mobile/API","WEB-EMP-CAND-001, MOB-CAND-001/002, API-CAND-001/002","P1","Covered","",""
"R-CAND-02","Paid unlock (atomic, confirm, re-view free)","MONETIZATION 5","Web/Mobile/API","WEB-EMP-CAND-002..006, MOB-CAND-003..005, API-CAND-003..006","P1","Covered","",""
"R-CAND-03","Deleted seeker no longer served (DPDP)","MONETIZATION 4","Web/Mobile/API","WEB-EMP-CAND-008, MOB-CAND-006, API-CAND-008, E2E-007, SYS-DATA-013","P1","Covered","",""
