"UAT ID","Persona","Business Scenario","What the user does (plain language)","Expected Business Outcome","Result (Accepted / Rejected / Comments)","Sign-off","Priority"
"UAT-SEEK-01","Job Seeker (Hindi-first)","Sign up and find work near home","Open the app in Hindi, register with my phone number, and search for jobs near me","I can register easily in Hindi and see real jobs close to my location","","","P1"
"UAT-SEEK-02","Job Seeker","Apply for a job in one tap","Open a job I like and apply","My application is sent without a long form; I can see it under 'My Applications'","","","P1"
"UAT-SEEK-03","Job Seeker","Get contacted for an interview","Wait for the employer to respond, then chat and see my interview","I get notified, can message the employer, and see my interview details","","","P1"
"UAT-SEEK-04","Job Seeker","Everything is free","Use the whole app end to end","I am never asked to pay for anything","","","P1"
"UAT-SEEK-05","Job Seeker (low-literacy)","Use the app with minimal reading","Complete registration and apply relying on icons/Hindi","I can complete the core journey without needing to read English or type much","","","P1"
"UAT-EMP-01","Employer (SME)","Register my business and get approved","Sign up as a business, submit details, and wait for approval","I understand I need approval, and once approved I can start hiring","","","P1"
"UAT-EMP-02","Employer","Buy a plan and understand what I get","Look at the plans and purchase one","Pricing (incl. GST) is clear; I know my posts/unlocks/seats; payment works; I get a GST invoice","","","P1"
"UAT-EMP-03","Employer","Post a job and receive applicants","Post a job using the category picker and review who applies","Posting is quick; I can see and manage applicants","","","P1"
"UAT-EMP-04","Employer","Search and unlock a candidate","Search the candidate database and unlock someone I like","I see previews for free, pay 1 credit only when I choose to unlock, and get their contact","","","P1"
"UAT-EMP-05","Employer","Interview and hire","Schedule an interview and chat with a candidate","I can schedule an interview and communicate directly","","","P1"
"UAT-EMP-06","Employer","Understand my credits and spending","Check my wallet after posting/unlocking","My balance and expiry are clear and correct","","","P1"
"UAT-EMP-07","Employer (team)","Add my recruiters","Invite a teammate and have them join my company workspace","My teammate joins and shares the same credits/jobs; I control who's on the team","","","P1"
"UAT-EMP-08","Employer","Get a proper tax invoice","Download my invoice after buying","A correct GST invoice PDF is available","","","P1"
"UAT-EMP-09","Employer (Hindi)","Run the hiring journey in Hindi","Switch to Hindi and hire","The whole employer journey works in Hindi","","","P2"
"UAT-ADM-01","Admin","Approve a new business","Review a pending employer and approve them","Approval lets the employer post; the action is confirmed","","","P1"
"UAT-ADM-02","Admin","Verify documents","Review and verify/reject submitted documents","Verification updates the user's status correctly","","","P1"
"UAT-ADM-03","Admin","Moderate a reported job","Handle a reported/suspicious post and resolve the report","I can warn/flag/remove and close the report with a note","","","P1"
"UAT-ADM-04","Admin","See real revenue","Open the dashboard","I see real payments received and trends I can trust","","","P1"
"UAT-ADM-05","Admin","Reconcile a payment","Open monetization and check a payment/invoice","Amounts match exactly (to the paisa) for reconciliation","","","P2"
"UAT-ADM-06","Super Admin","Manage admin users","Add/remove admin accounts","I can manage admins with the right guards (can't delete self/last super-admin)","","","P2"
"UAT-TRUST-01","Job Seeker","Trust & safety","Report a bad job; check my data isn't misused","I can report; no Aadhaar is asked; I feel safe","","","P1"
"UAT-TRUST-02","Employer","Data & compliance","Confirm invoices, security, and that hiring feels trustworthy","Payments feel secure; invoices are compliant; the platform feels professional","","","P2"
